id,short_name,long_name,age,height_cm,weight_kg,nationality,club,preferred_foot,player_positions,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,overall,potential
158023,L. Messi,Lionel Andrés Messi Cuccittini,32,170,72,Argentina,FC Barcelona,Left,"RW, CF, ST",87,92,92,96,39,66,,,,,,,94,94
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,34,187,83,Portugal,Juventus,Right,"ST, LW",90,93,82,89,35,78,,,,,,,93,93
190871,Neymar Jr,Neymar da Silva Santos Junior,27,175,68,Brazil,Paris Saint-Germain,Right,"LW, CAM",91,85,87,95,32,58,,,,,,,92,92
200389,J. Oblak,Jan Oblak,26,188,87,Slovenia,Atlético Madrid,Right,GK,,,,,,,87,92,78,89,52,90,91,93
183277,E. Hazard,Eden Hazard,28,175,74,Belgium,Real Madrid,Right,"LW, CF",91,83,86,94,35,66,,,,,,,91,91
192985,K. De Bruyne,Kevin De Bruyne,28,181,70,Belgium,Manchester City,Right,"CAM, CM",76,86,92,86,61,78,,,,,,,91,91
192448,M. ter Stegen,Marc-André ter Stegen,27,187,85,Germany,FC Barcelona,Right,GK,,,,,,,88,85,88,90,45,88,90,93
203376,V. van Dijk,Virgil van Dijk,27,193,92,Netherlands,Liverpool,Right,CB,77,60,70,71,90,86,,,,,,,90,91
177003,L. Modrić,Luka Modrić,33,172,66,Croatia,Real Madrid,Right,CM,74,76,89,89,72,66,,,,,,,90,90
209331,M. Salah,Mohamed  Salah Ghaly,27,175,71,Egypt,Liverpool,Left,"RW, ST",93,86,81,89,45,74,,,,,,,90,90
231747,K. Mbappé,Kylian Mbappé,20,178,73,France,Paris Saint-Germain,Right,"ST, RW",96,84,78,90,39,75,,,,,,,89,95
201024,K. Koulibaly,Kalidou Koulibaly,28,187,89,Senegal,Napoli,Right,CB,71,28,54,67,89,87,,,,,,,89,91
202126,H. Kane,Harry Kane,25,188,89,England,Tottenham Hotspur,Right,ST,70,91,79,81,47,83,,,,,,,89,91
212831,Alisson,Alisson Ramses Becker,26,191,91,Brazil,Liverpool,Right,GK,,,,,,,85,84,85,89,51,90,89,91
193080,De Gea,David De Gea Quintana,28,192,82,Spain,Manchester United,Right,GK,,,,,,,90,84,81,92,58,85,89,90
215914,N. Kanté,N'Golo Kanté,28,168,72,France,Chelsea,Right,"CDM, CM",78,65,77,81,87,83,,,,,,,89,90
138956,G. Chiellini,Giorgio Chiellini,34,187,85,Italy,Juventus,Left,CB,68,46,58,60,90,82,,,,,,,89,89
153079,S. Agüero,Sergio Leonel Agüero del Castillo,31,173,70,Argentina,Manchester City,Right,ST,80,90,77,88,33,74,,,,,,,89,89
155862,Sergio Ramos,Sergio Ramos García,33,184,82,Spain,Real Madrid,Right,CB,72,68,75,73,87,85,,,,,,,89,89
176580,L. Suárez,Luis Alberto Suárez Díaz,32,182,86,Uruguay,FC Barcelona,Right,ST,73,89,80,84,51,84,,,,,,,89,89
188545,R. Lewandowski,Robert Lewandowski,30,184,80,Poland,FC Bayern München,Right,ST,77,87,74,85,41,82,,,,,,,89,89
189511,Sergio Busquets,Sergio Busquets i Burgos,30,189,76,Spain,FC Barcelona,Right,"CDM, CM",42,62,80,80,85,80,,,,,,,89,89
194765,A. Griezmann,Antoine Griezmann,28,176,73,France,FC Barcelona,Left,"CF, ST, LW",81,86,84,89,57,72,,,,,,,89,89
211110,P. Dybala,Paulo Bruno Exequiel Dybala,25,177,75,Argentina,Juventus,Left,"CAM, RW",83,82,84,90,43,64,,,,,,,88,92
195864,P. Pogba,Paul Pogba,26,191,84,France,Manchester United,Right,"CM, CDM",74,81,86,85,66,86,,,,,,,88,91
210257,Ederson,Ederson Santana de Moraes,25,188,86,Brazil,Manchester City,Left,GK,,,,,,,86,82,93,88,63,86,88,91
202652,R. Sterling,Raheem Sterling,24,170,69,England,Manchester City,Right,"RW, LW",93,79,78,89,45,57,,,,,,,88,90
190460,C. Eriksen,Christian  Dannemann Eriksen,27,181,76,Denmark,Tottenham Hotspur,Right,"CAM, CM",73,81,90,84,53,63,,,,,,,88,89
192119,T. Courtois,Thibaut Courtois,27,199,96,Belgium,Real Madrid,Left,GK,,,,,,,85,89,72,87,49,85,88,89
152729,Piqué,Gerard Piqué Bernabéu,32,194,85,Spain,FC Barcelona,Right,CB,56,61,72,68,88,80,,,,,,,88,88
162835,S. Handanovič,Samir Handanovič,34,193,92,Slovenia,Inter,Right,GK,,,,,,,88,85,69,89,53,89,88,88
167495,M. Neuer,Manuel Neuer,33,193,92,Germany,FC Bayern München,Right,GK,,,,,,,87,87,91,87,57,85,88,88
167948,H. Lloris,Hugo Lloris,32,188,82,France,Tottenham Hotspur,Left,GK,,,,,,,89,82,68,91,63,84,88,88
168542,David Silva,David Josué Jiménez Silva,33,173,67,Spain,Manchester City,Left,"CAM, CM",65,74,88,89,52,57,,,,,,,88,88
179813,E. Cavani,Edinson Roberto Cavani Gómez,32,185,77,Uruguay,Paris Saint-Germain,Right,ST,75,86,72,79,55,83,,,,,,,88,88
182493,D. Godín,Diego Godín,33,187,78,Uruguay,Inter,Right,CB,60,48,64,61,89,83,,,,,,,88,88
182521,T. Kroos,Toni Kroos,29,183,76,Germany,Real Madrid,Right,CM,45,80,90,81,70,69,,,,,,,88,88
188350,M. Reus,Marco Reus,30,180,71,Germany,Borussia Dortmund,Right,"CAM, LM, ST",85,88,84,87,45,66,,,,,,,88,88
188567,P. Aubameyang,Pierre-Emerick Aubameyang,30,187,80,Gabon,Arsenal,Right,"ST, LM",94,85,75,80,37,69,,,,,,,88,88
208722,S. Mané,Sadio Mané,27,175,69,Senegal,Liverpool,Right,"LW, LM",94,83,77,89,44,74,,,,,,,88,88
212218,A. Laporte,Aymeric  Laporte,25,189,85,France,Manchester City,Left,"CB, LB",64,50,71,68,88,82,,,,,,,87,90
218667,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,24,173,64,Portugal,Manchester City,Left,"RW, CAM, CM",81,76,83,92,51,67,,,,,,,87,90
200145,Casemiro,Carlos Henrique Venancio Casimiro,27,185,84,Brazil,Real Madrid,Right,CDM,62,72,75,72,85,89,,,,,,,87,89
200104,H. Son,손흥민 孙兴慜,26,183,78,Korea Republic,Tottenham Hotspur,Right,"CF, LM",88,86,80,87,42,68,,,,,,,87,88
135507,Fernandinho,Fernando Luiz Rosa,34,179,67,Brazil,Manchester City,Right,CDM,66,74,79,78,84,79,,,,,,,87,87
164240,Thiago Silva,Thiago Emiliano da Silva,34,183,82,Brazil,Paris Saint-Germain,Right,CB,62,54,72,72,87,78,,,,,,,87,87
165153,K. Benzema,Karim Benzema,31,185,81,France,Real Madrid,Right,"CF, ST",76,82,80,86,39,77,,,,,,,87,87
172871,J. Vertonghen,Jan Vertonghen,32,189,86,Belgium,Tottenham Hotspur,Left,CB,63,63,74,72,87,79,,,,,,,87,87
175943,D. Mertens,Dries Mertens,32,169,61,Belgium,Napoli,Right,"CF, ST",88,83,80,91,35,53,,,,,,,87,87
178603,M. Hummels,Mats  Hummels,30,191,94,Germany,Borussia Dortmund,Right,CB,51,58,76,72,89,76,,,,,,,87,87
184087,T. Alderweireld,Toby Alderweireld,30,186,81,Belgium,Tottenham Hotspur,Right,CB,64,55,72,66,88,79,,,,,,,87,87
189332,Jordi Alba,Jordi Alba Ramos,30,170,68,Spain,FC Barcelona,Left,LB,90,69,81,83,79,73,,,,,,,87,87
189509,Thiago,Thiago Alcântara do Nascimento,28,174,70,Spain,FC Bayern München,Right,"CM, CAM, CDM",69,74,85,90,69,63,,,,,,,87,87
193041,K. Navas,Keylor Navas,32,185,80,Costa Rica,Real Madrid,Right,GK,,,,,,,90,81,75,90,53,82,87,87
198219,L. Insigne,Lorenzo Insigne,28,163,59,Italy,Napoli,Right,"CF, LW, ST",89,79,85,91,35,47,,,,,,,87,87
222492,L. Sané,Leroy Sané,23,183,75,Germany,Manchester City,Left,LW,95,81,79,86,38,70,,,,,,,86,92
207865,Marquinhos,Marcos  Aoás Corrêa,25,183,75,Brazil,Paris Saint-Germain,Right,"CB, CDM",74,41,73,70,86,77,,,,,,,86,90
232363,M. Škriniar,Milan Škriniar,24,187,80,Slovakia,Inter,Right,CB,69,41,59,66,87,82,,,,,,,86,90
199556,M. Verratti,Marco Verratti,26,165,60,Italy,Paris Saint-Germain,Right,"CM, CDM",65,60,84,90,79,66,,,,,,,86,89
205600,S. Umtiti,Samuel Umtiti,25,182,75,France,FC Barcelona,Left,CB,69,63,69,69,86,82,,,,,,,86,89
186153,W. Szczęsny,Wojciech  Szczęsny,29,195,90,Poland,Juventus,Right,GK,,,,,,,85,82,73,88,49,86,86,88
212622,J. Kimmich,Joshua Kimmich,24,176,73,Germany,FC Bayern München,Right,"RB, CM, CDM",72,69,86,84,79,78,,,,,,,86,88
197781,Isco,Francisco Román Alarcón Suárez,27,176,79,Spain,Real Madrid,Right,"CAM, CM, LW",71,77,83,91,59,60,,,,,,,86,87
201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,27,181,76,Brazil,Liverpool,Right,"CF, ST, CAM",77,82,80,87,61,78,,,,,,,86,87
168651,I. Rakitić,Ivan Rakitić,31,184,78,Croatia,FC Barcelona,Right,"CM, CDM",62,81,86,81,74,70,,,,,,,86,86
180206,M. Pjanić,Miralem Pjanić,29,178,72,Bosnia Herzegovina,Juventus,Right,"CM, CDM",68,68,87,85,75,67,,,,,,,86,86
183898,A. Di María,Ángel Fabián Di María Hernández,31,180,69,Argentina,Paris Saint-Germain,Left,"RW, LW",84,79,84,87,48,68,,,,,,,86,86
184344,L. Bonucci,Leonardo Bonucci,32,190,85,Italy,Juventus,Right,CB,58,58,69,70,87,79,,,,,,,86,86
189242,Coutinho,Philippe Coutinho Correia,27,172,68,Brazil,FC Bayern München,Right,"LW, CM",79,80,84,90,52,64,,,,,,,86,86
189513,Parejo,Daniel Parejo Muñoz,30,182,74,Spain,Valencia CF,Right,CM,41,80,88,79,70,69,,,,,,,86,86
189596,T. Müller,Thomas Müller,29,186,75,Germany,FC Bayern München,Right,"CAM, RM, RW",72,83,79,78,55,71,,,,,,,86,86
192387,C. Immobile,Ciro Immobile,29,185,85,Italy,Lazio,Right,ST,80,85,63,81,39,76,,,,,,,86,86
193301,A. Lacazette,Alexandre Lacazette,28,175,73,France,Arsenal,Right,ST,82,85,75,86,40,74,,,,,,,86,86
235243,M. de Ligt,Matthijs de Ligt,19,189,89,Netherlands,Juventus,Right,CB,67,58,66,68,83,84,,,,,,,85,93
230621,G. Donnarumma,Gianluigi Donnarumma,20,196,90,Italy,Milan,Right,GK,,,,,,,90,80,74,90,50,80,85,92
228702,F. de Jong,Frenkie de Jong,22,180,74,Netherlands,FC Barcelona,Right,"CM, CDM",79,64,84,87,76,76,,,,,,,85,91
201535,R. Varane,Raphaël Varane,26,191,81,France,Real Madrid,Right,CB,83,45,62,63,85,80,,,,,,,85,90
212190,N. Süle,Niklas Süle,23,195,97,Germany,FC Bayern München,Right,CB,72,42,55,50,86,82,,,,,,,85,90
223848,S. Milinković-Savić,Sergej Milinković-Savić,24,191,76,Serbia,Lazio,Right,"CM, CAM",67,79,80,83,77,84,,,,,,,85,90
231866,Rodri,Rodrigo Hernández Cascante,23,191,82,Spain,Manchester City,Right,"CDM, CM",67,68,77,77,82,80,,,,,,,85,90
208421,Saúl,Saúl Ñíguez Esclápez,24,184,77,Spain,Atlético Madrid,Left,"CM, LM, RM",70,78,79,81,78,78,,,,,,,85,89
209499,Fabinho,Fábio Henrique Tavares,25,188,78,Brazil,Liverpool,Right,CDM,68,69,78,77,85,83,,,,,,,85,89
216267,A. Robertson,Andrew Robertson,25,178,64,Scotland,Liverpool,Left,LB,85,62,77,79,80,75,,,,,,,85,89
216460,J. Giménez,José María Giménez de Vargas,24,185,80,Uruguay,Atlético Madrid,Right,CB,69,45,52,54,86,82,,,,,,,85,89
220440,C. Lenglet,Clément Lenglet,24,186,81,France,FC Barcelona,Left,CB,75,45,68,65,86,80,,,,,,,85,89
